iter	RMSE
0	1.128522883
1	1.098843921
2	1.07049372
3	1.043294768
4	1.018353023
5	0.99430701
6	0.9707374475
7	0.9495457898
8	0.9302742478
9	0.9114489496
10	0.8944162728
11	0.8780080358
12	0.8616351942
13	0.8474612668
14	0.8333373003
15	0.8213771823
16	0.8090435023
17	0.79726281
18	0.786036196
19	0.775282975
20	0.7649814345
21	0.7545002306
22	0.7448849504
23	0.7368041589
24	0.7268195557
25	0.7199558659
26	0.7135461903
27	0.7074052328
28	0.6999986727
29	0.6928583039
30	0.6868642185
31	0.6812632729
32	0.6768849508
33	0.6720522328
34	0.6668262923
35	0.6617585241
36	0.657292865
37	0.6536187932
38	0.6500573624
39	0.6462204587
40	0.6429094605
41	0.6383282461
42	0.6347173766
43	0.632082346
44	0.6295487233
45	0.6268555241
46	0.6228346127
47	0.6200985099
48	0.616084099
49	0.6139170058
50	0.6117806012
51	0.6089146526
52	0.6055385133
53	0.6035782739
54	0.6014925246
55	0.5987448976
56	0.597519966
57	0.5958994704
58	0.5940747958
59	0.5926710567
60	0.5895512133
61	0.5884398316
62	0.5856845057
63	0.5833168963
64	0.5815471992
65	0.5790946816
66	0.5779102969
67	0.5763719987
68	0.5741473492
69	0.5721934536
70	0.5708465067
71	0.5698905038
72	0.5683261336
73	0.5672963435
74	0.5662393296
75	0.5653004723
76	0.5633266843
77	0.562227501
78	0.5612910722
79	0.560696293
80	0.5596899604
81	0.5584872525
82	0.5578026606
83	0.556793624
84	0.5562138082
85	0.5554317334
86	0.5538538401
87	0.5528736855
88	0.5521900339
89	0.5508101465
90	0.5496490325
91	0.5484211369
92	0.5472671678
93	0.5464489041
94	0.5456256715
95	0.5449309003
96	0.5441246145
97	0.5432308559
98	0.5420333635
99	0.5410038432
100	0.5405832163
101	0.5398311622
102	0.5389645358
103	0.5382162883
104	0.5377823677
105	0.53650812
106	0.5359185055
107	0.5351209095
108	0.5339260588
109	0.5336642535
110	0.5328121391
111	0.5319289049
112	0.531009241
113	0.5303092391
114	0.5299485385
115	0.5292011316
116	0.528522887
117	0.5278473668
118	0.5272817431
119	0.5267588226
120	0.5262160593
121	0.5255804925
122	0.5249944063
123	0.5245134079
124	0.5241764076
125	0.5236397744
126	0.5231937268
127	0.5227045762
128	0.5217444386
129	0.521190557
130	0.5205961841
131	0.5200529631
132	0.5196586346
133	0.5189435317
134	0.5183630055
135	0.5178735823
136	0.5175388197
137	0.5170178379
138	0.5163910255
139	0.5157508947
140	0.5152535675
141	0.514492387
142	0.5138657415
143	0.51339691
144	0.5131386779
145	0.5124087628
146	0.5118763314
147	0.5115178609
148	0.5112636722
149	0.5110129833
150	0.5104852239
151	0.5099915507
152	0.5095302386
153	0.5091246349
154	0.5086001469
155	0.5082021175
156	0.5077580808
157	0.507267405
158	0.5066612231
159	0.5059994513
160	0.5054167073
161	0.5047816113
162	0.5042205536
163	0.5039347611
164	0.5034549667
165	0.5026305509
166	0.5023432305
167	0.5017355901
168	0.5012253227
169	0.5008548228
170	0.5003187556
171	0.4999158818
172	0.499577118
173	0.4991769077
174	0.4988937462
175	0.498692192
176	0.4983561759
177	0.4980821925
178	0.4975840314
179	0.4972225634
180	0.4967960661
181	0.4965555329
182	0.496290579
183	0.4958690308
184	0.4953851424
185	0.4948973235
186	0.4945278333
187	0.4941354781
188	0.4937092848
189	0.4932091209
190	0.4929583194
191	0.4926608041
192	0.4921713502
193	0.4918575552
194	0.4914754711
195	0.4907335483
196	0.490338411
197	0.4900705387
198	0.4896390952
199	0.4889530304
200	0.4887671341
201	0.4884963316
202	0.4880509575
203	0.4873977409
204	0.4869013738
205	0.4864103553
206	0.4860034627
207	0.4855736535
208	0.4852419194
209	0.4848564647
210	0.484508912
211	0.4841939477
212	0.4838508987
213	0.483379715
214	0.4830280903
215	0.4826578324
216	0.4821644593
217	0.481856522
218	0.4814526831
219	0.4810799795
220	0.4804748912
221	0.480082577
222	0.479678271
223	0.4792559135
224	0.4788882374
225	0.4785252092
226	0.4781234798
227	0.4775739435
228	0.4769916806
229	0.4765673666
230	0.4762333818
231	0.4759700198
232	0.4752919278
233	0.4748295978
234	0.4745764013
235	0.4742577901
236	0.4738731432
237	0.4736241302
238	0.4732387524
239	0.4730336561
240	0.4727262431
241	0.472404889
242	0.4717441646
243	0.4714511824
244	0.4711110272
245	0.4706998801
246	0.4703903289
247	0.4701558455
248	0.4698390984
249	0.4695095126
250	0.4692966139
251	0.4690590501
252	0.4687401328
253	0.4683761492
254	0.4677247973
255	0.4674220976
256	0.4670452926
257	0.4667527941
258	0.4664475807
259	0.4661580013
260	0.46584119
261	0.4655890303
262	0.4652422356
263	0.4646288093
264	0.4643258684
265	0.4640465545
266	0.4636688641
267	0.463436767
268	0.4631389749
269	0.4629168754
270	0.4626801273
271	0.4623956039
272	0.461968193
273	0.4613738637
274	0.4610397467
275	0.4607696193
276	0.4605303826
277	0.4602320675
278	0.4598612838
279	0.4596296114
280	0.459318652
281	0.4589037282
282	0.4585893413
283	0.4582959673
284	0.4580945546
285	0.4578841043
286	0.4575638666
287	0.4572869101
288	0.4570363882
289	0.4567389703
290	0.4565059979
291	0.4561466427
292	0.4559103753
293	0.4556907499
294	0.4554731939
295	0.4552317865
296	0.4550129082
297	0.4545414771
298	0.4542916657
299	0.4539761916
300	0.45368362
301	0.4534449261
302	0.4530654538
303	0.4527779606
304	0.4526068556
305	0.4523264235
306	0.4520581118
307	0.4518541465
308	0.4516186646
309	0.4511199003
310	0.4508709804
311	0.4506377335
312	0.450392226
313	0.4501098434
314	0.449923444
315	0.4497298899
316	0.4493179105
317	0.449167188
318	0.4488898188
319	0.448651586
320	0.448476393
321	0.4481696836
322	0.4479177848
323	0.4476583242
324	0.4474263448
325	0.4470089476
326	0.4467481207
327	0.4463179783
328	0.4461232064
329	0.4458298942
330	0.4455935747
331	0.4453549996
332	0.4451157395
333	0.4447725336
334	0.4444143496
335	0.4441980947
336	0.4439683727
337	0.443777014
338	0.4435558871
339	0.443171868
340	0.4428381657
341	0.4426034853
342	0.4423937469
343	0.442183311
344	0.4419720561
345	0.4417849456
346	0.441465042
347	0.4412686813
348	0.4410206494
349	0.4407864032
350	0.4405204714
351	0.4403291502
352	0.440122268
353	0.4399514061
354	0.4397889425
355	0.4395785276
356	0.439423399
357	0.4391804054
358	0.4388584832
359	0.4386497504
360	0.4385018831
361	0.4382573022
362	0.4379701249
363	0.4377548356
364	0.4375563305
365	0.4373490855
366	0.4371078984
367	0.4368846371
368	0.4366719452
369	0.4364218354
370	0.4361141665
371	0.4358335584
372	0.4356408433
373	0.4354451131
374	0.4351657357
375	0.4349934939
376	0.4347890432
377	0.4346169269
378	0.4343921126
379	0.4342010147
380	0.4340502447
381	0.4335875858
382	0.4334289254
383	0.4332128948
384	0.4330163387
385	0.432848977
386	0.4326500681
387	0.4325216969
388	0.4323399838
389	0.4321757809
390	0.4319348309
391	0.4316397727
392	0.4314782101
393	0.4312261139
394	0.4310069267
395	0.430836432
396	0.4305873186
