iter	Passed	Remaining
0	5	11719
1	7	7851
2	13	8732
3	20	10086
4	22	8903
5	24	7991
6	25	7366
7	30	7676
8	33	7342
9	36	7164
10	37	6849
11	39	6546
12	47	7309
13	49	7059
14	51	6855
15	53	6643
16	56	6647
17	59	6523
18	61	6372
19	63	6238
20	65	6196
21	69	6270
22	73	6291
23	74	6174
24	76	6070
25	82	6278
26	86	6286
27	90	6359
28	99	6736
29	101	6645
30	103	6557
31	108	6685
32	112	6694
33	114	6624
34	119	6722
35	123	6727
36	125	6657
37	127	6569
38	128	6485
39	132	6504
40	135	6462
41	137	6389
42	138	6318
43	140	6243
44	142	6180
45	146	6204
46	147	6142
47	149	6094
48	151	6041
49	153	5985
50	155	5952
51	162	6081
52	164	6050
53	166	5999
54	168	5946
55	176	6111
56	179	6102
57	180	6053
58	183	6044
59	186	6035
60	189	6014
61	191	5996
62	198	6088
63	201	6098
64	203	6066
65	207	6082
66	212	6122
67	214	6105
68	216	6066
69	222	6125
70	224	6105
71	226	6067
72	228	6037
73	234	6091
74	239	6151
75	241	6109
76	244	6106
77	250	6166
78	251	6125
79	253	6082
80	255	6044
81	258	6050
82	260	6013
83	263	6000
84	264	5966
85	266	5933
86	268	5898
87	271	5904
88	274	5887
89	276	5860
90	277	5828
91	279	5804
92	283	5805
93	285	5779
94	286	5750
95	288	5722
96	290	5694
97	291	5664
98	293	5637
99	299	5692
100	301	5671
101	303	5645
102	305	5618
103	306	5589
104	312	5634
105	314	5616
106	316	5592
107	317	5570
108	319	5544
109	321	5521
110	324	5520
111	333	5622
112	338	5645
113	340	5628
114	343	5633
115	345	5607
116	347	5585
117	354	5653
118	356	5634
119	358	5609
120	363	5647
121	366	5635
122	367	5611
123	369	5589
124	372	5592
125	376	5605
126	379	5600
127	381	5577
128	383	5559
129	385	5546
130	392	5602
131	395	5591
132	397	5582
133	399	5563
134	404	5589
135	407	5586
136	409	5570
137	411	5549
138	413	5529
139	418	5559
140	432	5698
141	435	5692
142	437	5680
143	439	5659
144	444	5681
145	445	5663
146	448	5651
147	450	5631
148	452	5616
149	457	5643
150	460	5638
151	464	5647
152	466	5628
153	469	5625
154	472	5624
155	475	5621
156	477	5608
157	479	5591
158	483	5594
159	485	5577
160	487	5563
161	488	5544
162	491	5540
163	495	5543
164	497	5530
165	499	5514
166	501	5500
167	502	5482
168	504	5465
169	506	5448
170	514	5505
171	516	5487
172	518	5471
173	519	5455
174	521	5438
175	526	5455
176	528	5440
177	530	5427
178	531	5409
179	535	5415
180	537	5404
181	539	5388
182	543	5392
183	550	5433
184	554	5441
185	558	5447
186	562	5456
187	566	5459
188	571	5471
189	576	5489
190	580	5500
191	582	5486
192	584	5471
193	586	5457
194	590	5462
195	592	5454
196	595	5446
197	596	5430
198	598	5415
199	600	5400
200	603	5403
201	606	5397
202	608	5383
203	609	5369
204	611	5355
205	613	5339
206	615	5327
207	621	5353
208	623	5340
209	624	5326
210	626	5312
211	629	5311
212	631	5299
213	633	5286
214	636	5280
215	639	5280
216	645	5300
217	646	5287
218	648	5275
219	650	5262
220	652	5250
221	657	5266
222	660	5266
223	662	5254
224	664	5244
225	666	5230
226	668	5219
227	675	5252
228	679	5253
229	683	5257
230	684	5245
231	686	5232
232	688	5218
233	690	5214
234	693	5208
235	696	5208
236	698	5197
237	700	5184
238	701	5172
239	703	5159
240	712	5200
241	714	5189
242	716	5180
243	720	5184
244	722	5176
245	725	5176
246	729	5175
247	734	5186
248	736	5176
249	737	5165
250	739	5153
251	741	5142
252	746	5152
253	748	5143
254	750	5133
255	751	5121
256	754	5117
257	758	5120
258	760	5110
259	762	5100
260	763	5088
261	765	5077
262	767	5068
263	769	5062
264	772	5055
265	774	5046
266	777	5043
267	779	5039
268	781	5031
269	784	5025
270	786	5017
271	788	5006
272	789	4997
273	797	5023
274	799	5013
275	801	5007
276	805	5007
277	807	5003
278	810	4998
279	812	4988
280	813	4977
281	815	4966
282	821	4981
283	823	4973
284	824	4963
285	826	4954
286	829	4948
287	833	4956
288	835	4948
289	837	4939
290	839	4929
291	841	4919
292	842	4910
293	847	4917
294	850	4914
295	852	4905
296	853	4896
297	855	4886
298	858	4884
299	862	4884
300	864	4877
301	865	4867
302	867	4857
303	868	4848
304	874	4861
305	877	4855
306	878	4847
307	880	4837
308	882	4831
309	886	4833
310	888	4824
311	890	4817
312	892	4808
313	893	4798
314	896	4796
315	899	4792
316	901	4787
317	903	4778
318	904	4768
319	906	4760
320	911	4767
321	913	4760
322	915	4754
323	917	4746
324	919	4737
325	924	4745
326	926	4738
327	927	4730
328	929	4722
329	931	4715
330	933	4706
331	938	4714
332	940	4707
333	942	4699
334	943	4691
335	945	4682
336	947	4674
337	959	4718
338	961	4712
339	964	4706
340	967	4709
341	969	4701
342	971	4694
343	975	4695
344	977	4688
345	979	4680
346	992	4729
347	995	4724
348	997	4717
349	1000	4718
350	1005	4725
351	1007	4718
352	1009	4709
353	1011	4701
354	1012	4693
355	1015	4691
356	1019	4693
357	1021	4685
358	1023	4677
359	1025	4670
360	1026	4661
361	1030	4664
362	1033	4658
363	1034	4651
364	1036	4644
365	1038	4636
366	1040	4630
367	1043	4629
368	1046	4624
369	1047	4615
370	1049	4607
371	1051	4599
372	1052	4591
373	1054	4585
374	1058	4586
375	1060	4580
376	1062	4572
377	1063	4565
378	1065	4556
379	1067	4549
380	1070	4547
381	1072	4540
382	1073	4533
383	1075	4526
384	1077	4518
385	1078	4511
386	1080	4503
387	1083	4503
388	1086	4498
389	1087	4491
390	1089	4484
391	1091	4477
392	1095	4480
393	1100	4484
394	1102	4479
395	1104	4472
396	1110	4483
397	1112	4478
398	1114	4473
399	1117	4471
400	1121	4473
401	1125	4473
402	1127	4468
403	1129	4461
404	1131	4455
405	1134	4453
406	1137	4450
407	1139	4446
408	1141	4440
409	1143	4434
410	1145	4428
411	1147	4424
412	1151	4425
413	1153	4420
414	1155	4413
415	1157	4407
416	1160	4404
417	1162	4399
418	1164	4392
419	1165	4385
